"Tidsmerke","Have you signed the consent form?","How old are you?","Gender","Education","What is your occupation? If you are a student, please state the category most fitting to your study. Don't answer if you're not working.","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","How satisfied are you with the quality of the silhouette extraction?","Did you notice any artefacts with the silhouette extraction?","Do you think the artefacts were annoying?","Do you have any additional feedback on the contents of the videos? What is your general impression? Any feedback is welcome. Du kan skrive på norsk om du vil."
"2021/11/16 8:51:56 p.m. CET","Yes","25 - 34","Female","Master's degree","IT and computers","Slightly satisfied","Extremely noticable","Very annoying","Very satisfied","Slightly noticable","Not at all annoying","Moderately satisfied","Very noticable","Moderately annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Completely satisfied","Not at all noticable","Not at all annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Very satisfied","Slightly noticable","Not at all annoying","Slightly satisfied","Very noticable","Moderately annoying","Slightly satisfied","Very noticable","Very annoying","Slightly satisfied","Very noticable","Very annoying","Not at all satisfied","Very noticable","Very annoying","Morsom undersøkelse, bra jobbet! Den eneste tilbakemeldingen jeg har er at spørsmålene kanskje var litt for tekniske og det derfor var litt vanskelig å være sikker på at man skjønte hva du spør om. En liten introtekst til hva det handler om kunne vært fint. Da kunne du også definert noen begreper så alle vet hva det blir stilt spørsmål om. Evt skrive spørsmålene litt mer sånn som man ville snakket til en 5-åring. Men jeg likte undersøkelsen godt, det var gøy! Lykke til videre :)"
"2021/11/17 4:38:55 p.m. CET","Yes","25 - 34","Male","Two year-degree","Shipping","Very satisfied","Moderately noticable","Moderately annoying","Completely satisfied","Not at all noticable","Not at all annoying","Very satisfied","Moderately noticable","Slightly annoying","Slightly satisfied","Extremely noticable","Very annoying","Completely satisfied","Slightly noticable","Not at all annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Very satisfied","Slightly noticable","Slightly annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Moderately satisfied","Slightly noticable","Moderately annoying","Slightly satisfied","Very noticable","Very annoying","Moderately satisfied","Very noticable","Moderately annoying","Ser ut som silhuettene skildres greit ut på kroppen, men noe flimring rundt fingrer og armer."
"2021/11/17 7:33:08 p.m. CET","Yes","25 - 34","Male","Master's degree","Electronics","Moderately satisfied","Extremely noticable","Moderately annoying","Very satisfied","Slightly noticable","Not at all annoying","Very satisfied","Moderately noticable","Moderately annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Completely satisfied","Not at all noticable","Not at all annoying","Slightly satisfied","Very noticable","Very annoying","Slightly satisfied","Very noticable","Extremely annoying","Very satisfied","Slightly noticable","Slightly annoying","Slightly satisfied","Very noticable","Very annoying","Very satisfied","Slightly noticable","Moderately annoying","Moderately satisfied","Moderately noticable","Very annoying","Moderately satisfied","Very noticable","Very annoying","Sakna ein piruett eller to, elles flott jobba!"
"2021/11/18 2:24:37 p.m. CET","Yes","55 - 64","Male","Some higher education, no degree","Oil, gass and energy","Moderately satisfied","Very noticable","Very annoying","Very satisfied","Not at all noticable","Not at all annoying","Slightly satisfied","Very noticable","Moderately annoying","Not at all satisfied","Extremely noticable","Very annoying","Very satisfied","Not at all noticable","Not at all annoying","Not at all satisfied","Very noticable","Very annoying","Not at all satisfied","Very noticable","Very annoying","Slightly satisfied","Moderately noticable","Slightly annoying","Moderately satisfied","Very noticable","Moderately annoying","Moderately satisfied","Moderately noticable","Slightly annoying","Moderately satisfied","Moderately noticable","Slightly annoying","Moderately satisfied","Moderately noticable","Moderately annoying",""
"2021/11/18 5:41:16 p.m. CET","Yes","Older than 65","Male","Primary school","Shipping","Completely satisfied","Not at all noticable","Not at all annoying","Very satisfied","Not at all noticable","Not at all annoying","Very satisfied","Not at all noticable","Not at all annoying","Slightly satisfied","Very noticable","Very annoying","Completely satisfied","Not at all noticable","Not at all annoying","Slightly satisfied","Very noticable","Very annoying","Slightly satisfied","Very noticable","Very annoying","Completely satisfied","Not at all noticable","Not at all annoying","Slightly satisfied","Moderately noticable","Very annoying","Slightly satisfied","Very noticable","Very annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Slightly satisfied","Very noticable","Very annoying",""
"2021/11/18 6:34:03 p.m. CET","Yes","25 - 34","Female","Master's degree","IT and computers","Moderately satisfied","Very noticable","Moderately annoying","Very satisfied","Slightly noticable","Not at all annoying","Moderately satisfied","Very noticable","Moderately annoying","Slightly satisfied","Extremely noticable","Very annoying","Completely satisfied","Not at all noticable","Not at all annoying","Moderately satisfied","Extremely noticable","Very annoying","Slightly satisfied","Extremely noticable","Very annoying","Very satisfied","Slightly noticable","Slightly annoying","Moderately satisfied","Very noticable","Moderately annoying","Very satisfied","Slightly noticable","Slightly annoying","Moderately satisfied","Very noticable","Very annoying","Moderately satisfied","Very noticable","Very annoying","Kult prosjekt, ønsker mer variasjon i dansemoves til neste gang.  "
"2021/11/19 9:41:00 a.m. CET","Yes","55 - 64","Male","Bachelor's degree","Sales and service","Moderately satisfied","Very noticable","Very annoying","Very satisfied","Very noticable","Moderately annoying","Moderately satisfied","Very noticable","Very annoying","Slightly satisfied","Extremely noticable","Very annoying","Completely satisfied","Not at all noticable","Not at all annoying","Slightly satisfied","Extremely noticable","Very annoying","Slightly satisfied","Extremely noticable","Very annoying","Moderately satisfied","Very noticable","Moderately annoying","Moderately satisfied","Very noticable","Moderately annoying","Moderately satisfied","Very noticable","Very annoying","Moderately satisfied","Very noticable","Moderately annoying","Moderately satisfied","Very noticable","Very annoying",""
"2021/11/19 11:13:21 a.m. CET","Yes","25 - 34","Female","Master's degree","IT and computers","Moderately satisfied","Very noticable","Moderately annoying","Very satisfied","Slightly noticable","Not at all annoying","Slightly satisfied","Very noticable","Very annoying","Slightly satisfied","Very noticable","Very annoying","Completely satisfied","Not at all noticable","Not at all annoying","Slightly satisfied","Extremely noticable","Moderately annoying","Slightly satisfied","Very noticable","Moderately annoying","Very satisfied","Slightly noticable","Not at all annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Moderately satisfied","Very noticable","Moderately annoying","Moderately satisfied","Moderately noticable","Moderately annoying",""
"2021/11/19 12:18:25 p.m. CET","Yes","18 - 24","Female","High school or equivalent","Health","Moderately satisfied","Very noticable","Moderately annoying","Very satisfied","Slightly noticable","Not at all annoying","Slightly satisfied","Very noticable","Very annoying","Not at all satisfied","Extremely noticable","Very annoying","Completely satisfied","Not at all noticable","Not at all annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Completely satisfied","Not at all noticable","Not at all annoying","Slightly satisfied","Very noticable","Moderately annoying","Moderately satisfied","Very noticable","Moderately annoying","Moderately satisfied","Slightly noticable","Slightly annoying","Moderately satisfied","Very noticable","Moderately annoying",""
"2021/11/19 2:53:17 p.m. CET","Yes","18 - 24","Female","Some higher education, no degree","Health","Slightly satisfied","Moderately noticable","Moderately annoying","Very satisfied","Slightly noticable","Not at all annoying","Slightly satisfied","Very noticable","Very annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Completely satisfied","Not at all noticable","Not at all annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Not at all satisfied","Extremely noticable","Extremely annoying","Completely satisfied","Not at all noticable","Not at all annoying","Slightly satisfied","Very noticable","Very annoying","Moderately satisfied","Moderately noticable","Moderately annoying","Very satisfied","Slightly noticable","Moderately annoying","Moderately satisfied","Very noticable","Moderately annoying","Dette var et arti eksperiment med godt gjennomført spørreskjema og gode svaralternativer. Lurte kun på om fargene på klærne burde vært den samme? "
